car_company,car_model,registered_yr,Kms_driven,owner_type,body_type,seats,transmission_type,fuel_type,engine_capacity_in_cc,mileage_in_kmpl,max_power_in_bhp,insurance,city,resale_price_in_Lakh_Rupees
Hyundai,Hyundai Santro Sportz CNG,2022,25586,First Owner,Hatchback,5,Manual,CNG,1086,30,59,Third Party insurance,Lucknow,5.59
Maruti,Maruti Wagon R CNG LXI,2021,44769,First Owner,Hatchback,5,Manual,CNG,998,32,58,Zero Dep,Lucknow,5.63
Maruti,Maruti S-Presso VXI 2019-2022,2021,34978,First Owner,Hatchback,5,Manual,Petrol,998,21,65,Third Party,Lucknow,3.89
Mahindra,Mahindra Scorpio VLX 2WD 7S BSIV,2012,159353,Second Owner,SUV,7,Manual,Diesel,2179,12,120,Without Insuarance,Lucknow,3.66
Hyundai,Hyundai Santro Xing GLS,2009,89822,Second Owner,Hatchback,5,Manual,Petrol,1086,17,62,Without Insuarance,Lucknow,8.71
Audi,Audi Q3 2.0 TDI Quattro Premium Plus,2015,60000,First Owner,SUV,5,Automatic,Diesel,1968,15,174,Comprehensive,Delhi,13.75
Maruti,Maruti Swift Dzire VXI,2012,111505,Third Owner,Sedan,5,Manual,Petrol,1197,22,88,Third Party,Chandigarh,3.11
Ford,Ford Ecosport 1.5 Diesel Titanium BSIV,2019,77459,First Owner,SUV,5,Manual,Diesel,1498,23,98,Zero Dep,Chandigarh,8.11
Hyundai,Hyundai Verna CRDi SX AT,2010,66642,First Owner,Sedan,5,Automatic,Diesel,1493,16,101,Without Insuarance,Bangalore,1.28
Hyundai,Hyundai Santro Sportz SE AMT BSIV,2018,18000,First Owner,Hatchback,5,Automatic,Petrol,1086,20,68,Comprehensive,Delhi,4.95
Skoda,Skoda Kushaq 1.0 TSI Ambition BSVI,2022,10000,First Owner,SUV,5,Manual,Petrol,999,19,113,Third Party insurance,Jaipur,13
Tata,Tata Zest Premio,2018,50151,First Owner,Sedan,5,Manual,Diesel,1248,22,73,Without Insuarance,Jaipur,3.8
Maruti,Maruti Vitara Brezza VXI,2020,60000,First Owner,SUV,5,Manual,Petrol,1462,17,103,Comprehensive,Jaipur,8.5
BMW,BMW X5 xDrive 30d,2014,82882,First Owner,SUV,5,Automatic,Diesel,2993,15,258,Comprehensive,Jaipur,26.74
Tata,Tata Tiago 1.2 Revotron XM,2017,40000,Second Owner,Hatchback,5,Manual,Petrol,1199,23,84,Third Party insurance,Kolkata,2.65
Tata,Tata Tiago XT BSVI,2020,15874,First Owner,Hatchback,5,Manual,Petrol,1199,19,84,Third Party,Kolkata,4.75
Hyundai,Hyundai Verna 1.6 SX,2012,150000,First Owner,Sedan,5,Manual,Diesel,1582,22,126,Third Party insurance,Kolkata,2.9
Renault,Renault Triber RXT,2019,33367,Second Owner,MUV,7,Manual,Petrol,999,20,71,Zero Dep,Ahmedabad,5.29
Datsun,Datsun GO Plus T,2018,27977,First Owner,MUV,7,Manual,Petrol,1198,19,67,Zero Dep,Ahmedabad,3.28
Mahindra,Mahindra Thar LX 4-Str Hard Top Diesel AT BSVI,2022,40000,First Owner,SUV,4,Automatic,Diesel,2184,17,130,Third Party insurance,Ahmedabad,16.3
Mercedes-Benz,Mercedes-Benz CLA Urban Sport 200d,2018,48000,First Owner,Sedan,5,Automatic,Diesel,2143,17,134,Comprehensive,Ahmedabad,25.5
Maruti,Maruti Vitara Brezza ZDi,2019,60000,First Owner,SUV,5,Manual,Diesel,1248,24,88,Third Party insurance,Chennai,9.5
Hyundai,Hyundai Verna VTVT 1.6 SX,2017,90000,Fourth Owner,Sedan,5,Manual,Petrol,1591,17,121,Third Party insurance,Chennai,7.5
Audi,Audi Q7 4.2 TDI Quattro Technology,2012,120000,Second Owner,SUV,7,Automatic,Diesel,4134,11,335,Third Party insurance,Chennai,15
Mahindra,Mahindra XUV300 W6 AMT Sunroof BSVI,2022,2000,First Owner,SUV,5,Automatic,Petrol,1197,17,108,Comprehensive,Chennai,10.9
Hyundai,Hyundai Creta 1.6 SX Dual Tone,2019,14000,First Owner,SUV,5,Manual,Petrol,1591,15,121,Comprehensive,Chennai,11.5
Maruti,Maruti Baleno 1.2 Zeta,2020,40307,First Owner,Hatchback,5,Manual,Petrol,1197,21,83,Third Party insurance,Chennai,7
Toyota,Toyota Innova Crysta 2.4 ZX 7 STR AT,2021,33000,First Owner,MUV,7,Automatic,Diesel,2393,12,148,Comprehensive,Chennai,28.5
Toyota,Toyota Fortuner 2.8 4WD AT BSIV,2020,50000,First Owner,SUV,7,Automatic,Diesel,2755,15,174,Third Party insurance,Chennai,39.85
Maruti,Maruti Wagon R LXI CNG,2015,88799,First Owner,Hatchback,5,Manual,CNG,998,26,58,Comprehensive,Pune,3.86
Mercedes-Benz,Mercedes-Benz E-Class E250 CDI Blue Efficiency,2011,110000,Third Owner,Sedan,5,Automatic,Diesel,2143,14,203,Third Party insurance,Pune,7
Maruti,Maruti Swift Dzire AMT ZXI Plus BS IV,2018,51691,First Owner,Sedan,5,Automatic,Petrol,1197,22,81,Comprehensive,Pune,7.15
Hyundai,Hyundai Accent GLE,2010,68000,First Owner,Sedan,5,Manual,Petrol,1495,13,103,Third Party insurance,Pune,2.5
Hyundai,Hyundai i10 Sportz AT,2012,59000,First Owner,Hatchback,5,Automatic,Petrol,1197,16,78,Third Party insurance,Pune,3.49
Maruti,Maruti Swift VXI Optional,2017,66501,First Owner,Hatchback,5,Manual,Petrol,1197,20,81,Comprehensive,Hyderabad,5.7
Nissan,Nissan Magnite Turbo CVT XV BSVI,2022,12094,First Owner,SUV,5,Automatic,Petrol,999,17,98,Zero Dep,Hyderabad,9.51
Maruti,Maruti Ertiga VDI,2013,70000,Second Owner,MUV,7,Manual,Diesel,1248,20,88,Third Party insurance,Hyderabad,6.5
Hyundai,Hyundai Venue SX Turbo BSIV,2020,60000,First Owner,SUV,5,Manual,Petrol,998,18,118,Third Party insurance,Hyderabad,10
Maruti,Maruti Swift Dzire AMT ZDI,2019,97112,First Owner,Sedan,5,Automatic,Diesel,1248,28,74,Third Party insurance,Hyderabad,7.79
Maruti,Maruti Vitara Brezza ZDi Plus,2019,47702,First Owner,SUV,5,Manual,Diesel,1248,24,88,Without Insuarance,Hyderabad,9.3
